SalesOrderID,SalesOrderDetailID,CarrierTrackingNumber,OrderQty,ProductID,SpecialOfferID,UnitPrice,UnitPriceDiscount,LineTotal,rowguid,ModifiedDate
1,1,,1,773,1,$3399.99,$0,3399.99,051D5192-2EA6-4A70-AF9C-96C012F0FCDB,16-03-2012 00:00
1,1,,1,773,1,$3399.99,$0,3399.99,0835BF13-BF42-4D89-83F0-491A2E24408E,14-12-2011 00:00
1,1,,1,773,1,$3399.99,$0,3399.99,1E2E572E-5B54-4733-A272-BB350617C46D,09-05-2012 00:00
1,1,,1,773,1,$3399.99,$0,3399.99,21F49224-CF01-497D-842A-533D965D0E79,03-10-2011 00:00
1,1,,1,773,1,$3399.99,$0,3399.99,2543C7BF-679B-47F3-A04F-EB5DA849EF32,31-05-2011 00:00
1,1,,1,773,1,$3399.99,$0,3399.99,3335C9D6-A4E0-44D3-B64B-887F8B74543F,17-02-2012 00:00
1,1,,1,773,1,$3399.99,$0,3399.99,3A0229FA-0A03-4126-97CE-C3425968B670,09-06-2011 00:00
1,1,,1,773,1,$3399.99,$0,3399.99,3B001726-A7DC-4D24-A7CC-2ADA75029CE4,22-04-2012 00:00
1,1,,1,773,1,$3399.99,$0,3399.99,3BE28B57-7045-4109-9233-AF64650B76AD,04-10-2011 00:00
1,1,,1,773,1,$3399.99,$0,3399.99,3BE2E6B8-31CF-44BA-86C6-E473287B63A8,18-10-2011 00:00
1,1,,1,773,1,$3399.99,$0,3399.99,41A64F8A-8C84-479D-B1F3-1D4DF4163351,12-05-2012 00:00
1,1,,1,773,1,$3399.99,$0,3399.99,520845A5-D596-49DD-B112-BE7BFA7675FF,16-06-2011 00:00
1,1,,1,773,1,$3399.99,$0,3399.99,52447D87-FF7A-4D2A-8236-8DD4C97CEBE9,03-02-2012 00:00
1,1,,1,773,1,$3399.99,$0,3399.99,525C38DD-5BFF-45E6-836C-9C9EEE4F84C7,12-11-2011 00:00
1,1,,1,773,1,$3399.99,$0,3399.99,5FF3B05F-57F0-4885-8E7B-64C4AD71AEB5,31-05-2011 00:00
1,1,,1,773,1,$3399.99,$0,3399.99,625472C1-4006-4B6D-B291-03065172B262,12-03-2012 00:00
1,1,,1,773,1,$3399.99,$0,3399.99,6926E9BF-DA82-4319-B7ED-439E28DC860D,08-06-2011 00:00
1,1,,1,773,1,$3399.99,$0,3399.99,69945F83-2B80-4DA7-B21B-D9CED8537072,20-11-2011 00:00
1,1,,1,773,1,$3399.99,$0,3399.99,6A3336B2-56CD-401D-824C-58E223DA7BDB,01-05-2012 00:00
1,1,,1,773,1,$3399.99,$0,3399.99,6BD822D8-AC5D-406D-8F69-EB247A40F1D3,11-02-2012 00:00
1,1,,1,773,1,$3399.99,$0,3399.99,6E7E562E-81C4-40B6-BC70-C7AC7B6949BD,21-12-2011 00:00
1,1,,1,773,1,$3399.99,$0,3399.99,712C779A-73EF-42C0-B0EA-5ECEE9092016,13-05-2012 00:00
1,1,,1,773,1,$3399.99,$0,3399.99,726163BE-9893-4D13-ABB1-2D30D5A9BFDA,21-02-2012 00:00
1,1,,1,773,1,$3399.99,$0,3399.99,74F05F72-73EE-40E2-B5ED-6C2825207A7B,04-08-2011 00:00
1,1,,1,773,1,$3399.99,$0,3399.99,7C2D39A2-49CD-4CA6-B780-C4D6C306EB6A,11-04-2012 00:00
1,1,,1,773,1,$3399.99,$0,3399.99,7DF9685A-EE95-4C15-8E54-4CEB8E7E139D,14-02-2012 00:00
1,1,,1,773,1,$3399.99,$0,3399.99,817F8F17-33F0-480C-94ED-BDD8F5642382,29-03-2012 00:00
1,1,,1,773,1,$3399.99,$0,3399.99,83146C2B-CCDF-444C-8C85-0423752C1F7E,01-03-2012 00:00
1,1,,1,773,1,$3399.99,$0,3399.99,9E8B1078-1D78-434F-A579-1A8AC16AD69D,13-01-2012 00:00
1,1,,1,773,1,$3399.99,$0,3399.99,A0B4A294-0FB0-442F-9850-F9EB3E01268F,03-05-2012 00:00
1,1,,1,773,1,$3399.99,$0,3399.99,A0FFB837-EA25-4272-A9C1-84876E9055C7,04-07-2011 00:00
1,1,,1,773,1,$3399.99,$0,3399.99,A2D7730F-D2D0-4C47-8F36-FBD316680CEF,31-05-2011 00:00
1,1,,1,773,1,$3399.99,$0,3399.99,AA7BEC90-D797-4BC6-BC03-CC1CCDC04737,09-04-2012 00:00
1,1,,1,773,1,$3399.99,$0,3399.99,AEFA9BBD-AC33-4897-8274-7479AD9842FB,27-12-2011 00:00
1,1,,1,773,1,$3399.99,$0,3399.99,AFD24489-E539-4BC9-BA5A-B7D1845FFF26,08-06-2011 00:00
1,1,,1,773,1,$3399.99,$0,3399.99,B13D7B58-B2A8-400D-9780-6F595EB3C9B6,28-02-2012 00:00
1,1,,1,773,1,$3399.99,$0,3399.99,BB149CBF-03F9-45AC-BD64-7BA53FB009CF,25-06-2011 00:00
1,1,,1,773,1,$3399.99,$0,3399.99,BE403D9E-2BF6-4E87-8D6A-0C081F463106,21-10-2011 00:00
